regionas;kaštaiAT11;5.381176052657148E13
AT12;3.316210148153542E14
AT21;1.2127968522631881E14
AT31;3.835566810879466E14
AT32;1.5216071667236425E14
AT33;2.1497478188367147E14
BE10;4.763882100493163E13
BE21;4.856181992604333E14
BE22;2.1429742628162166E14
BE24;1.049374559670153E14
BE31;2.4628504829313547E13
BE32;1.4479481016570906E14
BE33;1.6414790793738228E14
BE34;9.653345847347539E13
BE35;4.413892148515442E13
BG31;7.223059044558069E13
BG41;3.464438300373668E14
CH01;1.4139863629414438E14
CH02;1.5617802420016997E14
CH03;1.201335812291035E14
CH04;7.970160614596931E13
CH07;8.708321474102572E13
CZ03;2.874349989744877E14
CZ04;2.0751544044834512E14
CZ05;2.042522912973091E14
DE21;1.5140938109770592E15
DE25;3.8291958671176956E14
DE26;2.851046307385773E14
DE27;7.948343534062969E14
DE30;3.19052490357308E14
DE71;4.713843975515919E14
DE93;3.472816572071374E14
DEA2;9.724811297008699E14
DEB3;5.057533734728267E14
DED2;4.411196470570738E14
DK01;1.515812871654434E14
EL51;5.724257053172104E13
EL52;3.5871536945825844E14
EL53;1.6308930925560578E14
EL54;4.886697148203839E13
EL62;1.407278725492384E13
EL63;6.574192470071385E13
EL64;6.559371299570056E13
ES11;1.190929527192227E15
ES12;2.6189491309385153E14
ES13;1.6469598662394178E14
ES21;6.72953094495619E14
ES22;2.805887016218833E14
ES23;6.556815282646936E13
ES24;4.583126720045499E14
ES30;6.140802382462574E14
ES41;6.977770608493559E14
ES52;9.418572885957371E14
ES53;7.737714768450264E13
ES62;5.1311469568295706E14
FI19;3.439249332234494E14
FR10;8.148819318260052E14
FR21;3.965081568518621E14
FR22;5.0015883654953125E14
FR24;3.3622223620301806E14
FR25;2.7319240525177312E14
FR30;1.1514735955229112E15
FR52;9.62022114771056E14
FR53;3.072882407453524E14
FR61;7.987378501494865E14
FR63;9.803824395928612E13
FR71;8.310018458685865E14
FR72;1.631087638040622E14
HU22;2.22043776404766E14
HU23;3.4810981507249754E13
HU31;1.248915234467813E14
HU32;7.206202293376112E13
IE01;1.4558165264021578E14
IE02;1.999563695384691E14
ITC1;5.0427552074022994E14
ITC3;1.4338120696424944E14
ITF2;3.361068195521887E13
ITF3;3.9874753669739906E14
ITF4;3.537758445101748E14
ITF5;7.958522507027855E13
ITF6;3.549257779122151E14
ITG1;4.7027360366870906E14
ITH1;1.4585241729401778E14
ITH2;7.226996512243306E13
ITH3;6.254354753999711E14
ITI2;7.658763206024228E13
ITI4;2.8665122256389056E14
LV00;4.980141727206448E14
NL12;8.512844744657428E13
NL22;3.074430101159525E14
NL32;2.5133696040249553E14
NL41;5.3383113904121075E14
PL12;7.599101663035805E14
PL21;4.660595194855292E14
PL41;6.721229441323771E14
PL42;5.2832353520649894E14
RO12;1.67739865940437E14
RO21;8.630616793282283E13
RO31;1.599370119015954E14
SE12;1.7520783749781984E14
SE22;3.134023842812526E14
SE23;3.707390479433529E14
SE31;1.8285557371097862E14
SE33;3.469991700237993E14
SI03;1.839658914946705E14
SK01;1.3095902995088656E14
UKD1;3.6301954886485914E13
UKD7;8.543774339228994E13
UKE1;1.3594949565373467E14
UKE2;8.166830179143848E13
UKE3;6.91366812343776E13
UKE4;1.1553449178087225E14
UKF1;1.0758243802988931E14
UKF2;1.676577535317642E14
UKF3;5.74197093484435E13
UKG3;1.3788562016711658E14
UKH1;2.347440965955738E14
UKH2;1.1838705691355377E14
UKH3;1.701339498836584E14
UKI3;5.8116732252797234E13
UKI6;2.57858846926521E13
UKJ2;1.1802055530751431E14
UKJ3;1.31133618468378E14
UKJ4;1.85949671322597E14
UKK1;1.7088528593992716E14
UKK2;1.0593869787981514E14
UKK3;6.154169855270248E13
UKM2;1.532574896912732E14
